x,y,z,vx,vy,vz
0.101741,0.101741,0.101741,1.031668,1.031668,1.031668
1.100682,1.100682,1.100682,1.012399,1.012399,1.012399
2.100418,2.100418,2.100418,1.007593,1.007593,1.007593
3.100300,3.100300,3.100300,1.005456,1.005456,1.005456
4.100234,4.100234,4.100234,1.004254,1.004254,1.004254
5.100192,5.100192,5.100192,1.003484,1.003484,1.003484
6.100162,6.100162,6.100162,1.002950,1.002950,1.002950
7.100141,7.100141,7.100141,1.002557,1.002557,1.002557
8.100123,8.100123,8.100123,1.002257,1.002257,1.002257
9.100111,9.100111,9.100111,1.002019,1.002019,1.002019
10.100101,10.100101,10.100101,1.001826,1.001826,1.001826
11.100092,11.100092,11.100092,1.001668,1.001668,1.001668
12.100084,12.100084,12.100084,1.001534,1.001534,1.001534
13.100079,13.100079,13.100079,1.001420,1.001420,1.001420
14.100073,14.100073,14.100073,1.001322,1.001322,1.001322
15.100068,15.100068,15.100068,1.001236,1.001236,1.001236
16.100063,16.100063,16.100063,1.001161,1.001161,1.001161
17.100060,17.100060,17.100060,1.001094,1.001094,1.001094
18.100058,18.100058,18.100058,1.001036,1.001036,1.001036
19.100052,19.100052,19.100052,1.000982,1.000982,1.000982
20.100050,20.100050,20.100050,1.000933,1.000933,1.000933
21.100050,21.100050,21.100050,1.000890,1.000890,1.000890
22.100046,22.100046,22.100046,1.000850,1.000850,1.000850
23.100044,23.100044,23.100044,1.000814,1.000814,1.000814
24.100044,24.100044,24.100044,1.000781,1.000781,1.000781
25.100040,25.100040,25.100040,1.000750,1.000750,1.000750
26.100040,26.100040,26.100040,1.000721,1.000721,1.000721
27.100039,27.100039,27.100039,1.000695,1.000695,1.000695
28.100037,28.100037,28.100037,1.000670,1.000670,1.000670
29.100037,29.100037,29.100037,1.000647,1.000647,1.000647
30.100037,30.100037,30.100037,1.000626,1.000626,1.000626
31.100033,31.100033,31.100033,1.000606,1.000606,1.000606
32.100037,32.100037,32.100037,1.000588,1.000588,1.000588
33.100033,33.100033,33.100033,1.000570,1.000570,1.000570
34.100033,34.100033,34.100033,1.000553,1.000553,1.000553
35.100033,35.100033,35.100033,1.000538,1.000538,1.000538
36.100033,36.100033,36.100033,1.000522,1.000522,1.000522
37.100033,37.100033,37.100033,1.000508,1.000508,1.000508
38.100029,38.100029,38.100029,1.000495,1.000495,1.000495
39.100029,39.100029,39.100029,1.000483,1.000483,1.000483
40.100029,40.100029,40.100029,1.000471,1.000471,1.000471
41.100029,41.100029,41.100029,1.000459,1.000459,1.000459
42.100025,42.100025,42.100025,1.000448,1.000448,1.000448
43.100025,43.100025,43.100025,1.000437,1.000437,1.000437
44.100025,44.100025,44.100025,1.000428,1.000428,1.000428
45.100025,45.100025,45.100025,1.000418,1.000418,1.000418
46.100025,46.100025,46.100025,1.000409,1.000409,1.000409
47.100021,47.100021,47.100021,1.000401,1.000401,1.000401
48.100021,48.100021,48.100021,1.000392,1.000392,1.000392
49.100021,49.100021,49.100021,1.000384,1.000384,1.000384
50.100021,50.100021,50.100021,1.000377,1.000377,1.000377
51.100021,51.100021,51.100021,1.000368,1.000368,1.000368
52.100021,52.100021,52.100021,1.000362,1.000362,1.000362
53.100021,53.100021,53.100021,1.000355,1.000355,1.000355
54.100021,54.100021,54.100021,1.000348,1.000348,1.000348
55.100021,55.100021,55.100021,1.000342,1.000342,1.000342
56.100021,56.100021,56.100021,1.000336,1.000336,1.000336
57.100021,57.100021,57.100021,1.000330,1.000330,1.000330
58.100021,58.100021,58.100021,1.000324,1.000324,1.000324
59.100021,59.100021,59.100021,1.000318,1.000318,1.000318
60.100021,60.100021,60.100021,1.000314,1.000314,1.000314
61.100021,61.100021,61.100021,1.000308,1.000308,1.000308
62.100021,62.100021,62.100021,1.000303,1.000303,1.000303
63.100021,63.100021,63.100021,1.000298,1.000298,1.000298
64.100021,64.100021,64.100021,1.000293,1.000293,1.000293
65.100021,65.100021,65.100021,1.000288,1.000288,1.000288
66.100021,66.100021,66.100021,1.000285,1.000285,1.000285
67.100021,67.100021,67.100021,1.000280,1.000280,1.000280
68.100021,68.100021,68.100021,1.000277,1.000277,1.000277
69.100021,69.100021,69.100021,1.000272,1.000272,1.000272
70.100021,70.100021,70.100021,1.000268,1.000268,1.000268
71.100021,71.100021,71.100021,1.000265,1.000265,1.000265
72.100021,72.100021,72.100021,1.000261,1.000261,1.000261
73.100021,73.100021,73.100021,1.000257,1.000257,1.000257
74.100021,74.100021,74.100021,1.000254,1.000254,1.000254
75.100021,75.100021,75.100021,1.000250,1.000250,1.000250
76.100021,76.100021,76.100021,1.000247,1.000247,1.000247
77.100021,77.100021,77.100021,1.000243,1.000243,1.000243
78.100021,78.100021,78.100021,1.000241,1.000241,1.000241
79.100021,79.100021,79.100021,1.000237,1.000237,1.000237
80.100021,80.100021,80.100021,1.000235,1.000235,1.000235
81.100021,81.100021,81.100021,1.000231,1.000231,1.000231
82.100021,82.100021,82.100021,1.000229,1.000229,1.000229
83.100021,83.100021,83.100021,1.000225,1.000225,1.000225
84.100021,84.100021,84.100021,1.000223,1.000223,1.000223
85.100021,85.100021,85.100021,1.000221,1.000221,1.000221
86.100021,86.100021,86.100021,1.000218,1.000218,1.000218
87.100021,87.100021,87.100021,1.000215,1.000215,1.000215
88.100021,88.100021,88.100021,1.000212,1.000212,1.000212
89.100021,89.100021,89.100021,1.000210,1.000210,1.000210
90.100021,90.100021,90.100021,1.000207,1.000207,1.000207
91.100021,91.100021,91.100021,1.000205,1.000205,1.000205
92.100021,92.100021,92.100021,1.000203,1.000203,1.000203
93.100021,93.100021,93.100021,1.000201,1.000201,1.000201
94.100021,94.100021,94.100021,1.000199,1.000199,1.000199
95.100021,95.100021,95.100021,1.000197,1.000197,1.000197
96.100021,96.100021,96.100021,1.000194,1.000194,1.000194
97.100021,97.100021,97.100021,1.000193,1.000193,1.000193
98.100021,98.100021,98.100021,1.000191,1.000191,1.000191
99.100021,99.100021,99.100021,1.000188,1.000188,1.000188
100.100021,100.100021,100.100021,1.000187,1.000187,1.000187
101.100021,101.100021,101.100021,1.000185,1.000185,1.000185
102.100021,102.100021,102.100021,1.000182,1.000182,1.000182
103.100021,103.100021,103.100021,1.000181,1.000181,1.000181
104.100021,104.100021,104.100021,1.000179,1.000179,1.000179
105.100021,105.100021,105.100021,1.000178,1.000178,1.000178
106.100021,106.100021,106.100021,1.000176,1.000176,1.000176
107.100021,107.100021,107.100021,1.000174,1.000174,1.000174
108.100021,108.100021,108.100021,1.000173,1.000173,1.000173
109.100021,109.100021,109.100021,1.000170,1.000170,1.000170
110.100021,110.100021,110.100021,1.000169,1.000169,1.000169
111.100021,111.100021,111.100021,1.000168,1.000168,1.000168
112.100021,112.100021,112.100021,1.000166,1.000166,1.000166
113.100021,113.100021,113.100021,1.000165,1.000165,1.000165
114.100021,114.100021,114.100021,1.000163,1.000163,1.000163
115.100021,115.100021,115.100021,1.000162,1.000162,1.000162
116.100021,116.100021,116.100021,1.000161,1.000161,1.000161
117.100021,117.100021,117.100021,1.000159,1.000159,1.000159
118.100021,118.100021,118.100021,1.000157,1.000157,1.000157
119.100021,119.100021,119.100021,1.000156,1.000156,1.000156
120.100021,120.100021,120.100021,1.000155,1.000155,1.000155
121.100021,121.100021,121.100021,1.000154,1.000154,1.000154
122.100021,122.100021,122.100021,1.000153,1.000153,1.000153
123.100021,123.100021,123.100021,1.000151,1.000151,1.000151
124.100021,124.100021,124.100021,1.000150,1.000150,1.000150
125.100021,125.100021,125.100021,1.000149,1.000149,1.000149
126.100021,126.100021,126.100021,1.000148,1.000148,1.000148
127.100021,127.100021,127.100021,1.000148,1.000148,1.000148
128.099945,128.099945,128.099945,1.000143,1.000143,1.000143
129.099945,129.099945,129.099945,1.000143,1.000143,1.000143
